Team,Pos,Player,Team,Eligible,R,HR,RBI,SBN,AVG,TB+BB+HBP,IP,NW,K,SV,ERA,WHIP
BARGELD,C,Danny Jansen,TOR,C,7,3,13,0,0.169,28,,,,,,
BARGELD,C,Mike Zunino,CLE,C,7,2,7,0,0.23,40,,,,,,
BARGELD,1B,Vinnie Pasquantino,KC,1B,13,5,10,0,0.279,68,,,,,,
BARGELD,2B,Nick Gordon,MIN,"2B,OF",8,0,2,0,0.127,12,,,,,,
BARGELD,3B,Jose Ramirez,CLE,3B,15,3,17,3,0.279,67,,,,,,
BARGELD,SS,Enrique Hernandez,BOS,"2B,SS,OF",19,3,10,1,0.245,51,,,,,,
BARGELD,CI,Eugenio Suarez,SEA,3B,10,2,15,-1,0.243,49,,,,,,
BARGELD,MI,Jorge Mateo,BAL,SS,21,6,17,9,0.347,55,,,,,,
BARGELD,OF,Will Brennan,CLE,OF,8,1,10,2,0.2,24,,,,,,
BARGELD,OF,Anthony Santander,BAL,OF,8,2,11,0,0.213,44,,,,,,
BARGELD,OF,Kyle Stowers,BAL,OF,0,0,0,0,0.125,3,,,,,,
BARGELD,OF,Matt Vierling,DET,OF,7,1,8,-1,0.284,39,,,,,,
BARGELD,OF,Taylor Ward,LAA,OF,18,3,10,1,0.208,51,,,,,,
BARGELD,UT,Jake Meyers,HOU,OF,8,2,8,-1,0.268,35,,,,,,
BARGELD,UT,Myles Straw,CLE,OF,12,0,7,7,0.258,39,,,,,,
BARGELD,3B,Andy Ibanez,DET,3B,0,0,0,0,0,0,,,,,,
BARGELD,SS,Tyler Freeman,CLE,SS,1,0,0,0,0.286,4,,,,,,
BARGELD,OF,Aaron Judge,NYY,OF,18,6,14,1,0.261,61,,,,,,
BARGELD,OF,Chas McCormick,HOU,OF,7,2,9,4,0.275,27,,,,,,
BUTTERFIELD FREAKS,C,Jake Rogers,DET,C,6,3,8,-1,0.213,30,,,,,,
BUTTERFIELD FREAKS,C,Adley Rutschman,BAL,C,12,4,17,-1,0.291,67,,,,,,
BUTTERFIELD FREAKS,1B,Spencer Torkelson,DET,1B,9,2,11,1,0.206,39,,,,,,
BUTTERFIELD FREAKS,2B,Brandon Lowe,TB,2B,20,7,18,1,0.233,58,,,,,,
BUTTERFIELD FREAKS,3B,Yandy Diaz,TB,"1B,3B",23,7,16,0,0.319,72,,,,,,
BUTTERFIELD FREAKS,SS,Bo Bichette,TOR,SS,19,7,21,-1,0.344,76,,,,,,
BUTTERFIELD FREAKS,CI,Ramon Urias,BAL,"2B,3B",12,1,10,-1,0.274,40,,,,,,
BUTTERFIELD FREAKS,MI,Zach Neto,LAA,SS,4,0,4,1,0.25,25,,,,,,
BUTTERFIELD FREAKS,OF,Jarren Duran,BOS,OF,9,2,11,2,0.404,39,,,,,,
BUTTERFIELD FREAKS,OF,Trevor Larnach,MIN,OF,12,3,18,0,0.242,54,,,,,,
BUTTERFIELD FREAKS,OF,Edward Olivares,KC,OF,12,2,8,3,0.289,47,,,,,,
BUTTERFIELD FREAKS,OF,Esteury Ruiz,OAK,OF,11,0,11,10,0.255,45,,,,,,
BUTTERFIELD FREAKS,OF,Leody Taveras,TEX,OF,10,0,5,0,0.204,22,,,,,,
BUTTERFIELD FREAKS,UT,MJ Melendez,KC,"C,OF",9,2,10,0,0.174,41,,,,,,
BUTTERFIELD FREAKS,UT,Michael Massey,KC,2B,4,0,5,1,0.167,15,,,,,,
BUTTERFIELD FREAKS,2B,Edouard Julien,MIN,2B,4,2,4,0,0.222,14,,,,,,
BUTTERFIELD FREAKS,UT,Gabriel Arias,CLE,"1B,3B,SS",2,1,1,-1,0.179,15,,,,,,
BUTTERFIELD FREAKS,SS,David Hamilton,BOS,SS,0,0,0,0,0,0,,,,,,
BUTTERFIELD FREAKS,SS,Joseph Ortiz,BAL,"2B,SS",1,0,4,0,0.25,2,,,,,,
BUTTERFIELD FREAKS,UT,Sam Haggerty,SEA,"2B,OF",1,0,0,3,0.091,5,,,,,,
BUTTERFIELD FREAKS,OF,Adam Duvall,BOS,OF,11,4,14,0,0.455,38,,,,,,
DARKROOM SAFETY GROUP,C,Kyle Higashioka,NYY,C,4,2,6,0,0.195,16,,,,,,
DARKROOM SAFETY GROUP,C,Francisco Mejia,TB,C,9,1,5,0,0.2,18,,,,,,
DARKROOM SAFETY GROUP,1B,Ty France,SEA,1B,17,1,15,1,0.245,52,,,,,,
DARKROOM SAFETY GROUP,2B,Brandon Drury,LAA,"1B,2B,3B",12,5,17,-1,0.234,50,,,,,,
DARKROOM SAFETY GROUP,3B,Josh Jung,TEX,3B,18,6,21,1,0.27,58,,,,,,
DARKROOM SAFETY GROUP,SS,Carlos Correa,MIN,SS,8,3,10,0,0.202,44,,,,,,
DARKROOM SAFETY GROUP,CI,Josh Naylor,CLE,1B,5,3,17,2,0.213,38,,,,,,
DARKROOM SAFETY GROUP,MI,Gio Urshela,LAA,"1B,3B,SS",13,1,12,0,0.299,37,,,,,,
